,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2024-01-02T00:00:00.000Z,185.64,188.44,183.885,187.15,82488674,184.0948028317,186.8714966904,182.3544107881,185.5922341627,82488674,0.0,1.0
1,2024-01-03T00:00:00.000Z,184.25,185.88,183.43,184.22,58414460,182.7163726662,184.3328051625,181.9031980361,182.6866223748,58414460,0.0,1.0
2,2024-01-04T00:00:00.000Z,181.91,183.0872,180.88,182.15,71983570,180.3958499414,181.5632513737,179.3744232719,180.6338522721,71983570,0.0,1.0
3,2024-01-05T00:00:00.000Z,181.18,182.76,180.17,181.99,62196924,179.6719261854,181.2387748628,178.6703330435,180.4751840516,62196924,0.0,1.0
4,2024-01-08T00:00:00.000Z,185.56,185.6,181.5,182.085,59144470,184.0154687215,184.0551357766,179.9892626264,180.5693933076,59144470,0.0,1.0
5,2024-01-09T00:00:00.000Z,185.14,185.15,182.73,183.92,42841809,183.5989646427,183.6088814065,181.2090245714,182.3891194614,42841809,0.0,1.0
6,2024-01-10T00:00:00.000Z,186.19,186.4,183.92,184.35,46792908,184.6402248397,184.8484768791,182.3891194614,182.815540304,46792908,0.0,1.0
7,2024-01-11T00:00:00.000Z,185.59,187.05,183.62,186.54,49128408,184.0452190128,185.4930665249,182.0916165479,184.987311572,49128408,0.0,1.0
8,2024-01-12T00:00:00.000Z,185.92,186.74,185.19,186.06,40477782,184.3724722176,185.1856468476,183.6485484616,184.5113069105,40477782,0.0,1.0
9,2024-01-16T00:00:00.000Z,183.63,184.26,180.934,182.16,65603041,182.1015333117,182.7262894299,179.4279737964,180.6437690359,65603041,0.0,1.0
10,2024-01-17T00:00:00.000Z,182.68,182.93,180.3,181.27,47317433,181.1594407525,181.4073598471,178.7992509726,179.7611770594,47317433,0.0,1.0
11,2024-01-18T00:00:00.000Z,188.63,189.14,185.83,186.09,78005754,187.0599152023,187.5656701551,184.2832213436,184.5410572019,78005754,0.0,1.0
12,2024-01-19T00:00:00.000Z,191.56,191.95,188.82,189.33,68902985,189.9655269901,190.3522807776,187.2483337141,187.7540886669,68902985,0.0,1.0
13,2024-01-22T00:00:00.000Z,193.89,195.33,192.26,192.3,60133852,192.2761329511,193.7041469356,190.6597004548,190.6993675099,60133852,0.0,1.0
14,2024-01-23T00:00:00.000Z,195.18,195.75,193.8299,195.02,42355590,193.5553954789,194.1206510144,192.2165332008,193.3967272584,42355590,0.0,1.0
15,2024-01-24T00:00:00.000Z,194.5,196.38,194.34,195.42,53463269,192.8810555417,194.7454071326,192.7223873213,193.7933978096,53463269,0.0,1.0
16,2024-01-25T00:00:00.000Z,194.17,196.2675,193.1125,195.22,54822126,192.553802337,194.6338435401,191.5051045671,193.595062534,54822126,0.0,1.0
17,2024-01-26T00:00:00.000Z,192.42,194.76,191.94,194.27,44594011,190.8183686753,193.1388914001,190.3423640138,192.6529699748,44594011,0.0,1.0
18,2024-01-29T00:00:00.000Z,191.73,192.2,189.58,192.01,47145622,190.1341119744,190.6001998721,188.0020077615,190.4117813603,47145622,0.0,1.0
19,2024-01-30T00:00:00.000Z,188.04,191.8,187.47,190.94,55859370,186.4748261392,190.2035293209,185.9095706037,189.3506876357,55859370,0.0,1.0
20,2024-01-31T00:00:00.000Z,184.4,187.095,184.35,187.04,55467803,182.8651241229,185.5376919619,182.815540304,185.4831497611,55467803,0.0,1.0
21,2024-02-01T00:00:00.000Z,186.86,186.95,183.82,183.985,64885408,185.304648013,185.393898887,182.2899518236,182.453578426,64885408,0.0,1.0
22,2024-02-02T00:00:00.000Z,185.85,187.33,179.25,179.86,102551680,184.3030548711,185.7707359107,177.7579907756,178.3629133663,102551680,0.0,1.0
23,2024-02-05T00:00:00.000Z,187.68,189.25,185.84,188.15,69668820,186.1178226431,187.6747545567,184.2931381073,186.5839105408,69668820,0.0,1.0
24,2024-02-06T00:00:00.000Z,189.3,189.31,186.7695,186.86,43490759,187.7243383756,187.7342551394,185.2149013008,185.304648013,43490759,0.0,1.0
25,2024-02-07T00:00:00.000Z,189.41,191.05,188.61,190.64,53438955,187.8334227772,189.4597720373,187.0400816747,189.0531847223,53438955,0.0,1.0
26,2024-02-08T00:00:00.000Z,188.32,189.535,187.35,189.385,40962046,186.752495525,187.9573823244,185.7905694383,187.8086308677,40962046,0.0,1.0
27,2024-02-09T00:00:00.000Z,188.85,189.99,188.0,188.65,45155216,187.5160863362,188.6480341171,186.6720901838,187.3174990062,45155216,0.24,1.0
